Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-08-29,Chef,2014,https://boxd.it/3aTsnV,4.5,,,2022-08-28
2022-08-29,The Grand Budapest Hotel,2014,https://boxd.it/3aTsql,3.5,,,2022-08-28
2022-08-29,The Lego Movie,2014,https://boxd.it/3aTsud,3,,,2022-08-28
2022-08-29,Whiplash,2014,https://boxd.it/3aTsvv,5,Yes,,2022-08-28
2022-08-29,Anchorman 2: The Legend Continues,2013,https://boxd.it/3aTsxV,3,,,2022-08-28
2022-08-29,The Wolf of Wall Street,2013,https://boxd.it/3aTsB9,4.5,,,2022-08-28
2022-08-29,Frozen,2013,https://boxd.it/3aTsCL,3.5,,,2022-08-28
2022-08-29,The Hunger Games: Catching Fire,2013,https://boxd.it/3aTsEH,3,,,2022-08-28
2022-08-29,Thor: The Dark World,2013,https://boxd.it/3aTsGN,2,,,2022-08-28
2022-08-29,Prisoners,2013,https://boxd.it/3aTsIJ,4.5,,,2022-08-28
2022-08-29,We're the Millers,2013,https://boxd.it/3aTsV9,4.5,,,2022-08-28
2022-08-29,Don Jon,2013,https://boxd.it/3aTsWB,2.5,,,2022-08-28
2022-08-29,Kick-Ass 2,2013,https://boxd.it/3aTsYR,2.5,,,2022-08-28
2022-08-29,Pacific Rim,2013,https://boxd.it/3aTt0t,2.5,,,2022-08-28
2022-08-29,Despicable Me 2,2013,https://boxd.it/3aTt2T,2,,,2022-08-28
2022-08-29,Man of Steel,2013,https://boxd.it/3aTt5D,3,,,2022-08-28
2022-08-29,Monsters University,2013,https://boxd.it/3aTt7f,2.5,,,2022-08-28
2022-08-29,This Is the End,2013,https://boxd.it/3aTt9l,2.5,,,2022-08-28
2022-08-29,Now You See Me,2013,https://boxd.it/3aTtaX,3.5,,,2022-08-28
2022-08-29,The Great Gatsby,2013,https://boxd.it/3aTtcJ,3.5,,,2022-08-28
2022-08-29,Iron Man 3,2013,https://boxd.it/3aTteP,4,,,2022-08-28
2022-08-29,This Is 40,2012,https://boxd.it/3aTtgL,2.5,,,2022-08-28
2022-08-29,Django Unchained,2012,https://boxd.it/3aTtlh,3.5,,,2022-08-28
2022-08-29,Wreck-It Ralph,2012,https://boxd.it/3aTtol,3,,,2022-08-28
2022-08-29,Skyfall,2012,https://boxd.it/3aTtqL,3,,,2022-08-28
2022-08-29,Argo,2012,https://boxd.it/3aTtrz,3,,,2022-08-28
2022-08-29,Pitch Perfect,2012,https://boxd.it/3aTtt1,3.5,,,2022-08-28
2022-08-29,Looper,2012,https://boxd.it/3aTtvh,3.5,,,2022-08-28
2022-08-29,The Perks of Being a Wallflower,2012,https://boxd.it/3aTtxH,3,,,2022-08-28
2022-08-29,The Dark Knight Rises,2012,https://boxd.it/3aTtBp,3.5,,,2022-08-28
2022-08-29,The Amazing Spider-Man,2012,https://boxd.it/3aTtDl,4,,,2022-08-28
2022-08-29,The Dictator,2012,https://boxd.it/3aTtGz,3,,,2022-08-28
2022-08-29,The Avengers,2012,https://boxd.it/3aTtIb,4.5,,,2022-08-28
2022-08-29,The Hunger Games,2012,https://boxd.it/3aTtIZ,3,,,2022-08-28
2022-08-29,21 Jump Street,2012,https://boxd.it/3aTtKL,5,Yes,,2022-08-28
2022-08-29,Project X,2012,https://boxd.it/3aTtMH,3.5,,,2022-08-28
2022-08-29,The Lorax,2012,https://boxd.it/3aTtOD,3.5,,,2022-08-28
2022-08-29,Moneyball,2011,https://boxd.it/3aTtQJ,3.5,,,2022-08-28
2022-08-29,The Change-Up,2011,https://boxd.it/3aTtSF,2.5,,,2022-08-28
2022-08-29,Captain America: The First Avenger,2011,https://boxd.it/3aTtUh,3,,,2022-08-28
2022-08-29,"Crazy, Stupid, Love.",2011,https://boxd.it/3aTtW3,3.5,,,2022-08-28
2022-08-29,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/3aTtXl,4,,,2022-08-28
2022-08-29,Transformers: Dark of the Moon,2011,https://boxd.it/3aTtYD,2,,,2022-08-28
2022-08-29,X-Men: First Class,2011,https://boxd.it/3aTu0f,2,,,2022-08-28
2022-08-29,Kung Fu Panda 2,2011,https://boxd.it/3aTu2v,3.5,,,2022-08-28
2022-08-29,Thor,2011,https://boxd.it/3aTu4B,2.5,,,2022-08-28
2022-08-29,Tangled,2010,https://boxd.it/3aTu7b,3,,,2022-08-28
2022-08-29,Megamind,2010,https://boxd.it/3aTu8X,4,,,2022-08-28
2022-08-29,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/3aTuaz,4,,,2022-08-28
2022-08-29,The Social Network,2010,https://boxd.it/3aTucv,4.5,,,2022-08-28
2022-08-29,Easy A,2010,https://boxd.it/3aTueL,2.5,,,2022-08-28
2022-08-29,The Other Guys,2010,https://boxd.it/3aTug3,4,,,2022-08-28
2022-08-29,Scott Pilgrim vs. the World,2010,https://boxd.it/3aTuij,4.5,,,2022-08-28
2022-08-29,Inception,2010,https://boxd.it/3aTulx,4.5,,,2022-08-28
2022-08-29,Despicable Me,2010,https://boxd.it/3aTuoh,3,,,2022-08-28
2022-08-29,Knight and Day,2010,https://boxd.it/3aTuqR,2.5,,,2022-08-28
2022-08-29,The Karate Kid,2010,https://boxd.it/3aTusD,3,,,2022-08-28
2022-08-29,Iron Man 2,2010,https://boxd.it/3aTuup,3,,,2022-08-28
2022-08-29,Kick-Ass,2010,https://boxd.it/3aTuw1,4,,,2022-08-28
2022-08-29,How to Train Your Dragon,2010,https://boxd.it/3aTux9,3.5,,,2022-08-28
2022-08-29,Shutter Island,2010,https://boxd.it/3aTuA3,5,Yes,,2022-08-28
2022-08-29,Cloudy with a Chance of Meatballs,2009,https://boxd.it/3aTuBP,3.5,,,2022-08-28
2022-08-29,(500) Days of Summer,2009,https://boxd.it/3aTuDV,4.5,,,2022-08-28
